rank,table,n_rows,n_columns,prefix
291,edt_io_vir,0,25,edt
292,edt_lb_e,0,19,edt
293,edt_less_cal,0,11,edt
294,edt_less_cal_res,0,3,edt
295,edt_less_cal_res_vir,0,3,edt
296,edt_plan,0,3,edt
297,edt_plan_res,0,2,edt
298,edt_plan_res_set,0,13,edt
299,edt_plan_res_set_item,0,4,edt
300,edt_plan_res_set_ref_item,0,8,edt
301,edt_ref_cost_price,0,6,edt
302,edt_res,0,10,edt
303,edt_res_batch_price,0,6,edt
304,edt_res_cost,0,9,edt
305,edt_res_cost_edt_io_tmp,0,5,edt
306,edt_res_cost_price,0,7,edt
307,edt_res_cost_usage,0,13,edt
308,edt_res_vir,0,7,edt
309,edt_res_warn_set,0,4,edt
310,edt_scan_set_item,0,5,edt
311,edt_site,0,6,edt
312,ekg,0,5,(no-prefix)
313,ekg_catalog,0,9,ekg
314,ekg_catalog3,0,5,ekg
315,ekg_doc,0,6,ekg
316,ekg_doc_text,0,3,ekg
317,ekg_group,0,3,ekg
318,ekg_node,0,5,ekg
319,emf_check_order,0,9,emf
320,emf_check_order_cost,0,6,emf
321,emf_check_order_item,0,6,emf
322,emf_cost_order,0,2,emf
323,emf_cost_order_item,0,6,emf
324,emf_cost_order_item_fee,0,5,emf
325,emf_draw_io_item,0,11,emf
326,emf_draw_order,0,4,emf
327,emf_io,0,39,emf
328,emf_io_next,0,5,emf
329,emf_lsw,0,6,emf
330,emf_lsw_io,0,5,emf
331,emf_lsw_res,0,3,emf
332,emf_main_plan,0,7,emf
333,emf_res_def,0,11,emf
334,emf_res_io,0,18,emf
335,emf_res_num,0,2,emf
336,emf_res_sup,0,17,emf
337,emf_route_process,0,29,emf
338,emf_shop_order,0,10,emf
339,emf_shop_order_item,0,7,emf
340,emf_task,0,38,emf
341,emp_card,0,23,emp
342,emp_card_keep_his,0,3,emp
343,emp_contract_temp,0,4,emp
344,emp_contract_temp_data,0,3,emp
345,emp_desc,0,4,emp
346,emp_dorm_fee,0,32,emp
347,emp_dorm_fee_apart,0,13,emp
348,emp_dorm_member,0,6,emp
349,emp_dorm_use,0,17,emp
350,emp_family,0,18,emp
351,emp_group,0,6,emp
352,emp_insurance,0,14,emp
353,emp_insurance_payment,0,10,emp
354,emp_insurance_v,0,3,emp
355,emp_insurance_v_emp,0,3,emp
356,emp_insurance_v_item,0,7,emp
357,emp_job_hurt,0,31,emp
358,emp_leave_chat,0,8,emp
359,emp_med_check,0,19,emp
360,emp_note,0,5,emp
361,emp_notice,0,7,emp
362,emp_part_time,0,16,emp
363,emp_pict,0,4,emp
364,emp_pict_data,0,3,emp
365,emp_post_move,0,31,emp
366,emp_prize,0,13,emp
367,emp_punishment,0,12,emp
368,emp_res_def,0,11,emp
369,emp_res_draw,0,17,emp
370,emp_res_io,0,22,emp
371,emp_res_num,0,2,emp
372,emp_res_sup,0,17,emp
373,emp_study_his,0,21,emp
374,emp_technical,0,38,emp
